interface removed,base,empty,neighbor,crystal-net,heimdall,heimdall_interface,heimdall_end_nodes,heimdall_intersect,heimdall_intersect2,heimdall_intersect3,heimdall_intersect4
as2dist1:GigabitEthernet2/0, 65, 0, 17, 33, 65, 32, 65, 65, 65,,
as2core2:Loopback0, 65, 0, 17, 38, 65, 34, 65, 65, 65,,
as2dist2:GigabitEthernet2/0, 65, 0, 17, 38, 65, 33, 65, 6, 6,,
as3border2:GigabitEthernet1/0, 65, 0, 11, 15, 56, 23, 34, 0, 0,,
as2dept1:GigabitEthernet1/0, 65, 0, 17, 38, 65, 33, 65, 38, 38,,
as2core1:GigabitEthernet0/0, 65, 0, 9, 9, 32, 13, 32, 32, 32,,
as2core1:Loopback0, 65, 0, 9, 9, 32, 13, 32, 32, 32,,
as2core1:GigabitEthernet3/0, 65, 0, 17, 38, 38, 21, 38, 38, 38,,
as3border1:Loopback0, 65, 0, 15, 19, 65, 27, 38, 38, 38,,
as2dept1:GigabitEthernet2/0, 65, 0, 9, 9, 60, 26, 38, 38, 38,,
as1core1:GigabitEthernet0/0, 65, 0, 9, 9, 52, 24, 25, 25, 25,,
as2border2:Loopback0, 65, 0, 21, 30, 65, 36, 65, 24, 24,,
as1border2:GigabitEthernet0/0, 65, 0, 15, 19, 65, 32, 43, 6, 6,,
as3border1:GigabitEthernet0/0, 65, 0, 21, 37, 61, 33, 61, 19, 19,,
as2core2:GigabitEthernet1/0, 65, 0, 17, 38, 65, 32, 65, 65, 65,,
as3core1:GigabitEthernet1/0, 65, 0, 9, 9, 56, 24, 34, 34, 34,,
as2core2:GigabitEthernet2/0, 65, 0, 11, 38, 65, 33, 65, 65, 65,,
as2dist2:GigabitEthernet1/0, 65, 0, 17, 38, 38, 21, 38, 38, 38,,
as2border2:GigabitEthernet0/0, 65, 0, 21, 41, 65, 35, 65, 19, 19,,
as2core1:GigabitEthernet2/0, 65, 0, 17, 38, 65, 33, 65, 65, 65,,
as2border1:GigabitEthernet2/0, 65, 0, 17, 38, 65, 32, 65, 65, 65,,
as2border2:GigabitEthernet2/0, 65, 0, 21, 30, 65, 34, 65, 18, 18,,
as2dept1:GigabitEthernet0/0, 65, 0, 6, 33, 60, 24, 38, 38, 38,,
as1border2:Loopback0, 65, 0, 9, 9, 65, 29, 38, 38, 38,,
as1core1:GigabitEthernet1/0, 65, 0, 9, 9, 56, 25, 29, 29, 29,,
as3border2:Loopback0, 65, 0, 15, 19, 65, 27, 38, 38, 38,,
as2border1:Loopback0, 65, 0, 9, 9, 65, 29, 38, 38, 38,,
as1border2:GigabitEthernet2/0, 65, 0, 9, 9, 60, 25, 38, 0, 0,,
as1border1:Loopback0, 65, 0, 9, 9, 60, 27, 33, 33, 33,,
as2dist1:GigabitEthernet1/0, 65, 0, 17, 38, 65, 33, 65, 65, 65,,
as2dist2:GigabitEthernet0/0, 65, 0, 17, 38, 65, 33, 65, 6, 6,,
as2dist1:Loopback0, 65, 0, 17, 38, 65, 34, 65, 65, 65,,
as2core2:GigabitEthernet3/0, 65, 0, 17, 38, 65, 33, 65, 65, 65,,
as1border1:GigabitEthernet1/0, 65, 0, 9, 9, 60, 27, 33, 33, 33,,
as3border2:GigabitEthernet0/0, 65, 0, 15, 19, 65, 32, 43, 6, 6,,
as2dist2:Loopback0, 65, 0, 17, 38, 38, 22, 38, 38, 38,,
as3border1:GigabitEthernet1/0, 65, 0, 21, 41, 65, 34, 65, 19, 19,,
as2dept1:Loopback0, 65, 0, 6, 38, 65, 30, 43, 43, 43,,
as2border1:GigabitEthernet1/0, 65, 0, 9, 9, 32, 13, 32, 32, 32,,
as3core1:Loopback0, 65, 0, 15, 19, 65, 27, 38, 38, 38,,
as1border2:GigabitEthernet1/0, 65, 0, 15, 19, 52, 23, 30, 25, 25,,
as2border1:GigabitEthernet0/0, 65, 0, 9, 9, 60, 27, 33, 33, 33,,
as2dist1:GigabitEthernet0/0, 65, 0, 17, 38, 38, 20, 38, 38, 38,,
as3core1:GigabitEthernet0/0, 65, 0, 9, 9, 50, 23, 28, 28, 28,,
as2core1:GigabitEthernet1/0, 65, 0, 21, 30, 65, 34, 65, 18, 18,,
as1border1:GigabitEthernet0/0, 65, 0, 9, 9, 56, 26, 29, 29, 29,,
as2dept1:GigabitEthernet3/0, 65, 0, 9, 9, 60, 26, 38, 38, 38,,
as2border2:GigabitEthernet1/0, 65, 0, 17, 38, 65, 32, 65, 65, 65,,
as2core2:GigabitEthernet0/0, 65, 0, 17, 38, 65, 32, 65, 65, 65,,
as1core1:Loopback0, 65, 0, 9, 9, 65, 29, 38, 38, 38,,
